ger,pior,Medio,melhor,dev.padr,ilha
15,1.55718,1.85023,1.86742,0.00454494,ilha_5
16,1.82285,1.84062,1.84338,3.18628e-05,ilha_0
16,1.84847,1.85509,1.85683,5.57662e-06,ilha_1
16,1.85502,1.85705,1.8672,1.36365e-05,ilha_2
16,-1.19531,1.59423,1.85701,0.611031,ilha_3
16,1.86397,1.86724,1.86742,5.63336e-07,ilha_4
16,1.55718,1.83584,1.86742,0.00846799,ilha_5
17,1.84227,1.8429,1.84844,1.71414e-06,ilha_0
17,1.42052,1.83456,1.85683,0.00902297,ilha_1
17,1.85502,1.85889,1.8672,2.50484e-05,ilha_2
17,1.84438,1.85293,1.85701,2.00186e-05,ilha_3
17,-1.63876,1.67657,1.86742,0.583053,ilha_4
17,-1.40063,1.55071,1.86742,0.681946,ilha_5
18,1.84227,1.84426,1.84856,6.00838e-06,ilha_0
18,-0.169511,1.73333,1.85683,0.199569,ilha_1
18,1.85518,1.86074,1.8672,2.96491e-05,ilha_2
18,1.84851,1.85565,1.85709,6.13978e-06,ilha_3
18,-1.40044,1.68851,1.86742,0.506749,ilha_4
18,1.79375,1.86289,1.86742,0.000264991,ilha_5
19,1.84227,1.8451,1.84856,7.21322e-06,ilha_0
19,-1.23488,1.69251,1.85686,0.452723,ilha_1
19,-0.0547908,1.75114,1.8672,0.175502,ilha_2
19,1.85233,1.85637,1.85765,2.26553e-06,ilha_3
19,1.55704,1.84804,1.86742,0.0047132,ilha_4
19,-0.0180637,1.7723,1.86742,0.168719,ilha_5
20,-1.71815,1.49733,1.84856,1.09845,ilha_0
20,-1.2475,1.57957,1.85879,0.618916,ilha_1
20,1.85863,1.86656,1.8672,3.53561e-06,ilha_2
20,1.66651,1.84783,1.86685,0.00173611,ilha_3
20,1.56297,1.85219,1.86742,0.00440254,ilha_4
20,-0.0291804,1.74971,1.86742,0.171357,ilha_5
21,-0.235374,1.74427,1.85226,0.206264,ilha_0
21,-1.24771,1.70221,1.86635,0.458005,ilha_1
21,-0.351742,1.73964,1.8672,0.235343,ilha_2
21,1.83994,1.85729,1.86685,2.4258e-05,ilha_3
21,1.86742,1.86742,1.86742,4.3473e-13,ilha_4
21,-1.78636,1.66583,1.86743,0.631755,ilha_5
22,0.16036,1.76452,1.85226,0.135443,ilha_0
22,1.85683,1.8589,1.86685,1.50153e-05,ilha_1
22,1.86694,1.86721,1.86742,8.10839e-09,ilha_2
22,1.85709,1.86027,1.86742,2.02766e-05,ilha_3
22,1.86689,1.86739,1.86742,1.29665e-08,ilha_4
22,1.5576,1.85192,1.86743,0.00455894,ilha_5
23,-1.73664,1.67014,1.85226,0.610857,ilha_0
23,-1.7754,1.68027,1.86685,0.628527,ilha_1
23,-1.37441,1.70517,1.86742,0.499146,ilha_2
23,1.56356,1.8463,1.86742,0.00425472,ilha_3
23,1.86689,1.86739,1.86742,1.32992e-08,ilha_4
23,1.5576,1.85193,1.86743,0.00455944,ilha_5
24,1.68507,1.8429,1.86708,0.00133053,ilha_0
24,-0.0666552,1.75461,1.86685,0.178112,ilha_1
24,1.58292,1.85296,1.86742,0.00383813,ilha_2
24,-0.0301202,1.74829,1.86742,0.174893,ilha_3
24,1.7939,1.86374,1.86742,0.000256723,ilha_4
24,-1.78636,1.68474,1.86743,0.634132,ilha_5
25,-1.21717,1.70014,1.86708,0.447963,ilha_0
25,1.80821,1.86351,1.86685,0.000164059,ilha_1
25,1.8672,1.86729,1.86742,1.13961e-08,ilha_2
25,1.44259,1.84432,1.86742,0.00851364,ilha_3
25,1.5569,1.85155,1.86742,0.00457046,ilha_4
25,-0.0291804,1.7726,1.86743,0.170863,ilha_5
26,-1.21717,1.7028,1.86742,0.448799,ilha_0
26,1.86648,1.86683,1.86686,6.58475e-09,ilha_1
26,-1.78111,1.68488,1.86742,0.632269,ilha_2
26,-1.78636,1.49061,1.86742,1.06867,ilha_3
26,-0.0297443,1.77239,1.86742,0.170932,ilha_4
26,1.86447,1.86728,1.86743,4.14537e-07,ilha_5
27,1.54637,1.84956,1.86742,0.00485754,ilha_0
27,-0.605984,1.72889,1.86694,0.290491,ilha_1
27,1.85069,1.86637,1.86743,1.34753e-05,ilha_2
27,-1.39968,1.7039,1.86742,0.506958,ilha_3
27,1.86742,1.86742,1.86742,2.16992e-13,ilha_4
27,1.86727,1.86742,1.86743,1.16787e-09,ilha_5
28,1.54999,1.85053,1.86742,0.00476446,ilha_0
28,-0.0640654,1.76972,1.86694,0.176993,ilha_1
28,-1.39987,1.67377,1.86743,0.505424,ilha_2
28,1.86742,1.86742,1.86743,4.29109e-12,ilha_3
28,1.85076,1.86659,1.86742,1.3181e-05,ilha_4
28,-1.93729,1.51409,1.86743,1.13097,ilha_5
29,-0.0152292,1.75843,1.86742,0.169695,ilha_0
29,-1.36182,1.68835,1.86694,0.495086,ilha_1
29,-1.78621,1.52138,1.86743,1.08146,ilha_2
29,1.56401,1.85225,1.86743,0.00437286,ilha_3
29,1.86742,1.86742,1.86742,1.41442e-12,ilha_4
29,-0.0351881,1.77229,1.86743,0.171947,ilha_5
30,-1.39111,1.70439,1.86742,0.50432,ilha_0
30,1.52828,1.84992,1.86704,0.00544503,ilha_1
30,1.56772,1.85227,1.86743,0.00426198,ilha_2
30,1.79435,1.86216,1.86743,0.000265362,ilha_3
30,-1.39987,1.70043,1.86742,0.506135,ilha_4
30,1.55268,1.80663,1.86743,0.0147933,ilha_5
31,-1.78464,1.49256,1.86743,1.06397,ilha_0
31,1.5901,1.85304,1.86704,0.00363882,ilha_1
31,1.56772,1.85244,1.86743,0.00426672,ilha_2
31,1.8641,1.86725,1.86743,5.23732e-07,ilha_3
31,-0.040432,1.77203,1.86742,0.172896,ilha_4
31,-0.0351881,1.7723,1.86743,0.171948,ilha_5
32,1.57008,1.83765,1.86743,0.00788843,ilha_0
32,1.53046,1.8362,1.86743,0.00861553,ilha_1
32,-1.7853,1.66903,1.86743,0.63272,ilha_2
32,1.79613,1.86308,1.86743,0.000247583,ilha_3
32,1.86488,1.86729,1.86742,3.06429e-07,ilha_4
32,-1.39454,1.70418,1.86743,0.505374,ilha_5
33,-0.0385605,1.77199,1.86743,0.172532,ilha_0
33,-0.0353755,1.77157,1.86743,0.171851,ilha_1
33,-0.0346255,1.77231,1.86743,0.171843,ilha_2
33,1.85171,1.86664,1.86743,1.17333e-05,ilha_3
33,-1.39968,1.67292,1.86742,0.505569,ilha_4
33,1.55268,1.85169,1.86743,0.00470587,ilha_5
